वृत्त,पाद,गण,लक्षण,अक्षरसङ्ख्या,मात्रा,यति
मेघविस्फूर्जिता,,यमनसररग,लगगगगगलललललगगलगगलगग,19,30,"6,6,7"
रथोद्धता,,रनरलग,गलगलललगलगलग,11,16,"3,8"
"रुक्मवती, चम्पकमाला",,भमसग,गललगगगललगग,10,16,"5,5"
"रुचिरा, प्रभावती",,जभसजग,लगलगललललगलगलग,13,18,"4,9"
ललिता,,तभजर,गगलगलललगलगलग,12,18,
"कामक्रीडा, लीलाखेल",,ममममम,गगगगगगगगगगगगगगग,15,30,"8,7"
वंशपत्रपतित,,भरनभनलग,गललगलगलललगललललललग,17,22,"10,7"
"वंशस्थ, वंशस्थविल, वंशस्तनित",,जतजर,लगलगगललगलगलग,12,18,"5,7"
"वसन्ततिलका, सिंहोन्नता, सिंहोद्धता, उद्धर्षिणी",,तभजजगग,गगलगलललगललगलगग,14,21,"8,6"
वाणिनी,,नजभजरग,ललललगलगलललगलगलगग,16,22,
वातोर्मी,,मभतगग,गगगगललगगलगग,11,19,"4,7"
वासन्ती,,मतनमगग,गगगगगललललगगगगग,14,24,"4,6,4"
विद्युन्माला,,ममगग,गगगगगगगग,8,16,"4,4"
वृत्ता,,ननसगग,ललललललललगगग,11,14,"4,7"
वैश्वदेवी,,ममयय,गगगगगगलगगलगग,12,22,"5,7"
शशिकला,,ननननस,ललललललललललललललग,15,16,"7,8"
शार्दूलललित,,मसजसतस,गगगललगलगलललगगगलललग,18,27,"12,6"
शार्दूलविक्रीडित,,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,"12,7"
शालिनी,,मततगग,गगगगगलगगलगग,11,20,"4,7"
शिखरिणी,,यमनसभलग,लगगगगगलललललगगलललग,17,25,"6,11"
शुद्धविराट्,,मसजग,गगगललगलगलग,10,16,
"श्येनी, श्येनिका",,रजरलग,गलगलगलगलगलग,11,17,
सुमधुरा,,मरभरमनग,गगगगलगगललगलगगगगलललग,19,31,"7,6,6"
सुमन्दारमाला,,यययययययलग,लगगलगगलगगलगगलगगलगगलगगलग,23,38,"5,6,6,6"
सुमुखी,,नजजलग,ललललगललगललग,11,14,"5,6"
सुरसा,,मरभरयनग,गगगगलगगललगलगलगगलललग,19,30,"7,7,5"
सुवदना,,मरभनयभलग,गगगगलगगललललललगगगलललग,20,30,"7,7,6"
स्रग्धरा,,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,"7,7,7"
स्रग्विणी,,रररर,गलगगलगगलगगलग,12,20,"6,6"
स्वागता,,रनभगग,गलगलललगललगग,11,16,"3,8"
हरिणी,,नसमरसलग,लललललगगगगगलगललगलग,17,25,"6,4,7"
हंसरुत,,मनगग,गगगलललगग,8,13,
हंसी १,,ममतनननसग,गगगगगगगगललललललललललललगग,22,32,"8,14"
नदी १,,मर,गगगगलग,6,11,
पङ्क्ति,,भगग,गललगग,5,8,
कन्या,,मग,गगगग,4,8,
सती,,नग,लललग,4,5,
तनुमध्या,,तय,गगललगग,6,10,
रमणी,,सस,ललगललग,6,8,
लासिनी,,जग,लगलग,4,6,
वसुमती,,तस,गगलललग,6,9,
मणिराग,,रससग,गलगललगललगग,10,15,
मन्दा,,तलग,गगललग,5,8,
प्रिया,,सलग,ललगलग,5,7,
मुकुल,,मस,गगगललग,6,10,
मेघवितान,,सससग,ललगललगललगग,10,14,
मौक्तिकदाम,,जजजज,लगललगललगललगल,12,16,"6,6"
शशिवदना,,नय,ललललगग,6,8,
"मौक्तिकमाला, श्री, अनुकूला",,भतनगग,गललगगललललगग,11,16,"5,6"
"सावित्री, विद्युल्लेखा",,मम,गगगगगग,6,12,
हंसमाला,,सरग,ललगगलगग,7,11,
"हरनर्तक, मत्तकोकिल",,रसजजभर,गलगललगलगललगलगललगलग,18,26,
हलमुखी,,रनस,गलगलललललग,9,12,
सोमराजी,,यय,लगगलगग,6,10,
समृद्धि,,रग,गलगग,4,7,
प्रीति,,रगग,गलगगग,5,9,
बृहती,,ननन,ललललललललल,9,9,
भद्रक,,भरनरनरनग,गललगलगलललगलगलललगलगलललग,22,30,"4,6,6,6"
"कुसुममालिका, शुद्धकामदा",,नररलग,लललगलगगलगलग,11,16,
हंसी २,,मभनग,गगगगलललललग,10,15,
दीपकमाला,,भमजग,गललगगगलगलग,10,16,
उपस्थिता,,तजजग,गगललगललगलग,10,15,
भद्रिका १,,रनर,गलगलललगलग,9,13,
मदनललिता,,मभनमनग,गगगगलललललगगगलललग,16,24,"4,6,6"
प्रवरललित,,यमनसरग,लगगगगगलललललगगलगग,16,25,
चकिता,,भसमतनग,गललललगगगगगगललललग,16,24,"8,8"
निशिपालक,,भजसनर,गलललगलललगलललगलग,15,20,
नलिनी,,ससससस,ललगललगललगललगललग,15,20,
मानसहंस,,सजजभर,ललगलगललगलगललगलग,15,21,
ऋषभ,,सजससय,ललगलगलललगललगलगग,15,21,
उपमालिनी,,ननतभर,ललललललगगलगललगलग,15,20,"8,7"
चन्द्रकान्ता,,ररमसय,गलगगलगगगगललगलगग,15,25,"7,8"
एला,,सजननय,ललगलगललललललललगग,15,19,"5,10"
समानिका,,रजगल,गलगलगलगल,8,12,
नाराचिका,,तरलग,गगलगलगलग,8,13,
मोटनक,,तजजलग,गगललगललगललग,11,16,
उपचित्र,,सससलग,ललगललगललगलग,11,15,
