वृत्त,पद,लक्षण,लक्षण (raw),अक्षरसङ्ख्या,मात्रा,यति
उपजाति (वंशस्थ-इन्द्रवंशा ४),3,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ४),4,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ५),1,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ५),2,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ५),3,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ५),4,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ६),1,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ६),2,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ६),3,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ६),4,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ७),1,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ७),2,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ७),3,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ७),4,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ८),1,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ८),2,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ८),3,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ८),4,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ९),1,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ९),2,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ९),3,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ९),4,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा १०),1,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा १०),2,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा १०),3,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा १०),4,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ११),1,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ११),2,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ११),3,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ११),4,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा १२),1,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा १२),2,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा १२),3,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा १२),4,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा १३),1,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा १३),2,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा १३),3,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा १३),4,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा १४),1,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा १४),2,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा १४),3,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा १४),4,ततजर,गगलगगललगलगलग,12,19,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा १),1,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा १),2,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा १),3,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा १),4,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा २),1,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा २),2,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा २),3,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा २),4,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ३),1,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ३),2,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ३),3,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ३),4,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ४),1,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ४),2,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ४),3,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ४),4,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ५),1,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ५),2,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ५),3,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ५),4,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ६),1,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ६),2,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ६),3,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ६),4,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ७),1,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ७),2,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ७),3,मसजसततग,गगगललगलगलललगगगलगगलग,19,30,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ७),4,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ८),1,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
उपजाति (शार्दूलविक्रीडित-स्रग्धरा ८),2,मरभनययय,गगगगलगगललललललगगलगगलगग,21,33,
